fold,test_pid,val_pid,test_r,test_mse,w_waist,w_wrist,act_acc,PICP95,MPIW95,temp_T,PICP95_cal,MPIW95_cal,cal_status,model_path,n_acts
1,P01,P02,0.900958962738514,0.06347589194774628,0.45149439573287964,0.5485056042671204,0.71875,0.9967889908256881,2.449319005012512,0.5531250000000001,0.9824999759330747,1.3547796607017517,calibrated,/content/model_outputs_calibrated/fold01_testP01_valP02.pt,4
2,P02,P03,0.8540933036378452,0.10751136019825935,0.4595542848110199,0.5404456853866577,0.75,0.9862745098039216,2.2378222942352295,0.4074171642307192,0.9196691176470588,0.9117271900177002,calibrated_inflated,/content/model_outputs_calibrated/fold02_testP02_valP03.pt,4
3,P03,P04,0.859484079209241,0.057207457100351654,0.4485909640789032,0.5514090061187744,0.9318181818181818,0.9981258366800535,2.058151960372925,0.4625,0.953185022745911,0.9518952568372091,calibrated,/content/model_outputs_calibrated/fold03_testP03_valP04.pt,4
4,P04,P05,0.838616947333018,0.0751781752333045,0.44444379210472107,0.5555562376976013,0.8666666666666667,0.9986619090098127,2.5636963844299316,0.3265625,0.9242065616017445,0.8372070789337158,calibrated,/content/model_outputs_calibrated/fold04_testP04_valP05.pt,4
5,P05,P06,0.8316916613017812,0.03830316103994846,0.44689080119132996,0.5531092286109924,0.9705882352941176,1.0,2.416698694229126,0.6091191475788946,0.9958401631198542,1.472057541211446,calibrated_inflated,/content/model_outputs_calibrated/fold05_testP05_valP06.pt,4
6,P06,P07,0.7866165388662082,0.13803651928901672,0.4539596140384674,0.546040415763855,0.3076923076923077,0.9888268156424581,2.6966567039489746,0.371875,0.8860335195530726,1.0028191804885864,calibrated,/content/model_outputs_calibrated/fold06_testP06_valP07.pt,4
7,P07,P08,0.7638353089491526,0.06742081046104431,0.44936704635620117,0.550632894039154,0.8333333333333334,1.0,2.3802040815353394,0.4690756667172536,0.9590793507737123,1.1164958477020264,calibrated_inflated,/content/model_outputs_calibrated/fold07_testP07_valP08.pt,4
8,P08,P09,0.7514268089743221,0.08026476372033357,0.4493529498577118,0.5506470203399658,0.3382352941176471,0.9979643765903308,2.3726756095886232,0.42108188652346146,0.9177215963773048,0.9990907788276673,calibrated_inflated,/content/model_outputs_calibrated/fold08_testP08_valP09.pt,4
9,P09,P10,0.8030050906442827,0.05206800438463688,0.45418745279312134,0.5458126068115234,0.5806451612903226,1.0,3.072378396987915,0.3265625,0.968165400423465,1.0033235847949982,calibrated,/content/model_outputs_calibrated/fold09_testP09_valP10.pt,4
10,P10,P01,0.7998231126793793,0.07739417472233374,0.4625159800052643,0.5374839901924133,0.9142857142857143,0.9960652051714446,2.177323341369629,0.371875,0.9324810974242849,0.8096920649210612,calibrated,/content/model_outputs_calibrated/fold10_testP10_valP01.pt,4
